#Taxonomy	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU25982	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA
OTU25983	Bacteria	Firmicutes	Bacilli	RF39	NA	NA	NA
OTU25984	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA
OTU25985	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	NA
OTU25986	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
OTU25987	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA
OTU25988	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	NA
OTU25989	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	NA	NA	NA
OTU25990	Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	NA
OTU25991	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
OTU25992	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
OTU25993	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	p-1088-a5_gut_group	NA
OTU25994	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	NA
OTU25995	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	NA
OTU25996	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA
OTU25997	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA
OTU25998	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	NA	NA	NA
OTU25999	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
OTU26000	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	NA
OTU26001	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	NA
OTU26002	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA
OTU26003	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	NA
OTU26004	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	NA	NA
OTU26005	Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014	NA	NA	NA
OTU26006	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenella	NA
OTU26007	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	V9D2013_group	NA
OTU26008	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	NA	NA	NA
OTU26009	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA	NA
OTU26010	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	NA
